No Urut,Peruntukan,Nama Persyaratan,Keterangan,Tipe File
3,PBG Non Rumah Tinggal Melalui TPA,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Non Rumah Tinggal Melalui TPA,SPTJM PBG,,pdf
5,PBG Non Rumah Tinggal Melalui TPA,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Non Rumah Tinggal Melalui TPA,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Non Rumah Tinggal Melalui TPA,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Non Rumah Tinggal Melalui TPA,"Rekomendasi dari Tim Ahli Cagar Budaya beserta lampiran, apabila bangunan yang dimohonkan merupakan bangunan cagar budaya atau berada di kawasan cagar budaya",,pdf
9,PBG Non Rumah Tinggal Melalui TPA,"Gambar rencana teknis bangunan berupa softfile dalam format Computer Aided Design (CAD) sekurang kurangnya berupa gambar denah, dan dapat ditambahkan : && 1. gambar tampak; && 2. gambar atap; atau && 3. gambar potongan;
Tipe File Upload dwg",,dwg
10,PBG Non Rumah Tinggal Melalui TPA,Data struktur yang ditandatangani oleh perencana struktur apabila bangunan belum berdiri,,dwg
11,PBG Non Rumah Tinggal Melalui TPA,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Non Rumah Tinggal Melalui TPA,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
13,PBG Non Rumah Tinggal Melalui TPA,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
14,PBG Non Rumah Tinggal Melalui TPA,"BAST Administrasi/Fisik PSU, untuk permohonan yang diajukan pengembang",,pdf
15,PBG Non Rumah Tinggal Melalui TPA,"Data MEP (Mechanical, electrical, & plumbing)",,pdf
1,PBG Rumah Tinggal Sederhana,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Rumah Tinggal Sederhana,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Rumah Tinggal Sederhana,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Rumah Tinggal Sederhana,SPTJM PBG,,pdf
5,PBG Rumah Tinggal Sederhana,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Rumah Tinggal Sederhana,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Rumah Tinggal Sederhana,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Rumah Tinggal Sederhana,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Rumah Tinggal Sederhana,Gambar format CAD atau sketsa bangunan sekurang-kurangnya gambar denah,,dwg
